Temp_std_err,hws_std_err,relative_intensity_std_error_pl,relative_intensity_std_error_el,noise_sigma,save_folder,csv_name_pl,csv_name_el,date,test_id,fixed_parameters_dict,params_to_fit_init,min_bounds,max_bounds,num_iteration_max_likelihood,coeff_spread,nsteps,num_coords,max_abs_pos_exp,error_in_max_abs_pos,temperature_lifetimes_exp,relative_error_lifetime,mean,num_iteration,max_log_prob
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//ITICDIO-300K-9_G0_650.0nm_1450.0nm_12-07-2024-12h-49m_Exposure_2.0s_mod_split0_split500/new_pl_sampling_alllifetimes_abs/20e30f8a-fad4-458f-90ee-a2a2a7a29b8b,ITICDIO-300K-9_G0_650.0nm_1450.0nm_12-07-2024-12h-49m_Exposure_2.0s_mod_split0_split500.csv,,2024_10_30,20e30f8a-fad4-458f-90ee-a2a2a7a29b8b,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.67, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.6, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.14}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.73, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.155}, 'CT': {}, 'D': {}}",5,0.5,15000,32,1.76,0.01,"{'300': 3.5e-10, '260': 4.4e-10, '220': 6.4e-10, '180': 9.6e-10, '140': 1.26e-09, '100': 1.49e-09, '60': 1.54e-09}",0.05,"['1.685', '0.075', '0.072', '0.064', '0.152']",15000,-305.42942893511224
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//Y6-unanneal-sync2_G0_750.0nm_1450.0nm_25-09-2024-14h-40m_Exposure_3.0s_mod_split0_split500/new_pl_sampling_alllifetimes_abs/2625a359-1534-4db9-b744-8420a2be580b,Y6-unanneal-sync2_G0_750.0nm_1450.0nm_25-09-2024-14h-40m_Exposure_3.0s_mod_split0_split500.csv,,2024_10_30,2625a359-1534-4db9-b744-8420a2be580b,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.42, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.3, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.14}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.5, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.16}, 'CT': {}, 'D': {}}",5,0.5,15000,32,1.52,0.01,"{'300': 1.1e-09, '260': 1.17e-09, '220': 1.18e-09, '180': 1.14e-09, '140': 1.13e-09, '100': 1.12e-09, '60': 1.09e-09}",0.05,"['1.432', '0.053', '0.067', '0.095', '0.152']",15000,-62.81510666803913
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//Y6-brilliantmat-sameday-fresh-300K_G0_mod_split0_split500_mod_split0_split500/new_pl_sampling_alllifetimes_abs/3410fe8d-1104-4cbf-8421-79be9b38f262,Y6-brilliantmat-sameday-fresh-300K_G0_mod_split0_split500_mod_split0_split500.csv,,2024_10_30,3410fe8d-1104-4cbf-8421-79be9b38f262,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.41, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.35, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.14}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.5, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.16}, 'CT': {}, 'D': {}}",5,0.5,15000,32,1.5,0.01,"{'300': 1.1e-09, '260': 1.17e-09, '220': 1.18e-09, '180': 1.14e-09, '140': 1.13e-09, '100': 1.12e-09, '60': 1.09e-09}",0.05,"['1.423', '0.080', '0.067', '0.084', '0.152']",15000,-45.10308741095816
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//Y5-300K-sync2_G0_750.0nm_1400.0nm_15-10-2024-15h-34m_Exposure_2.0s_mod_split0_split500/new_pl_sampling_alllifetimes_abs/482611b3-a109-456e-99c6-d9acae012faf,Y5-300K-sync2_G0_750.0nm_1400.0nm_15-10-2024-15h-34m_Exposure_2.0s_mod_split0_split500.csv,,2024_10_30,482611b3-a109-456e-99c6-d9acae012faf,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.46, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.4, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.14}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.53, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.16}, 'CT': {}, 'D': {}}",5,0.5,15000,32,1.57,0.01,"{'300': 1.33e-09, '260': 1.66e-09, '220': 1.69e-09, '180': 1.69e-09, '140': 1.7e-09, '100': 1.69e-09, '60': 1.7e-09}",0.05,"['1.477', '0.086', '0.070', '0.094', '0.151']",15000,-47.071232369391986
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//Y6-brilliantmat-DIO-fresh-300K_G0_mod_split0_split500_mod_split0_split500/new_pl_sampling_alllifetimes_abs/6ecb03ab-0512-4de7-9e42-11440cfd11be,Y6-brilliantmat-DIO-fresh-300K_G0_mod_split0_split500_mod_split0_split500.csv,,2024_10_30,6ecb03ab-0512-4de7-9e42-11440cfd11be,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.4, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.3, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.14}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.5, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.16}, 'CT': {}, 'D': {}}",5,0.5,15000,32,1.48,0.01,"{'300': 6.6e-10, '260': 7.9e-10, '220': 8.5e-10, '180': 9.3e-10, '140': 1.02e-09, '100': 9.9e-10, '60': 9.8e-10}",0.05,"['1.423', '0.079', '0.068', '0.091', '0.155']",13768,-51.0420755193793
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//S3-Y6DIB-brilliantmat-sameday_mod_split0_split500_mod_split0_split500/new_pl_sampling_alllifetimes_abs/794ad736-7601-4010-8939-3d5f78ed7562,S3-Y6DIB-brilliantmat-sameday_mod_split0_split500_mod_split0_split500.csv,,2024_10_30,794ad736-7601-4010-8939-3d5f78ed7562,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.4, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.3, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.14}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.5, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.16}, 'CT': {}, 'D': {}}",5,0.5,15000,32,1.49,0.01,"{'300': 8.5e-10, '260': 9.4e-10, '220': 9.9e-10, '180': -7.98, '140': 1.05e-09, '100': 1.05e-09, '60': 1.04e-09}",0.05,"['1.301', '0.168', '0.200', '0.199', '0.160']",15000,-1.2736080000000142e+22
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//GSISO-300K_G0_600.0nm_1250.0nm_07-07-2024-16h-58m_Exposure_1.0s_mod_split0_split500/new_pl_sampling_alllifetimes_abs/79e6addc-37c3-43fe-ac33-e2f2890706f4,GSISO-300K_G0_600.0nm_1250.0nm_07-07-2024-16h-58m_Exposure_1.0s_mod_split0_split500.csv,,2024_10_30,79e6addc-37c3-43fe-ac33-e2f2890706f4,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.83, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.75, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.13}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.9, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.155}, 'CT': {}, 'D': {}}",5,0.5,15000,32,1.93,0.01,"{'300': 4.9e-10, '260': 6.7e-10, '220': 7e-10, '180': 6.2e-10, '140': 6.8e-10, '100': 6.7e-10, '60': 5.8e-10}",0.05,"['1.848', '0.080', '0.060', '0.055', '0.149']",15000,-295.1237128603603
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//IT4F-300K-9_G0_650.0nm_1450.0nm_12-07-2024-12h-55m_Exposure_2.0s_mod_split0_split500/new_pl_sampling_alllifetimes_abs/8a5cb72c-0ad0-49f8-9c39-87e22285b069,IT4F-300K-9_G0_650.0nm_1450.0nm_12-07-2024-12h-55m_Exposure_2.0s_mod_split0_split500.csv,,2024_10_30,8a5cb72c-0ad0-49f8-9c39-87e22285b069,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.6, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.5, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.14}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.7, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.155}, 'CT': {}, 'D': {}}",5,0.5,15000,32,1.72,0.01,"{'300': 3.9e-10, '260': 4.2e-10, '220': 5e-10, '180': 5.9e-10, '140': 7.3e-10, '100': 8.8e-10, '60': 9.8e-10}",0.05,"['1.656', '0.132', '0.115', '0.092', '0.150']",15000,-169.96047642526943
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//ITIC-300K-2_G0_650.0nm_1450.0nm_12-07-2024-10h-44m_Exposure_3.0s_mod_split0_split500/new_pl_sampling_alllifetimes_abs/9f97c9a5-76ce-4db3-a03a-ae4211055032,ITIC-300K-2_G0_650.0nm_1450.0nm_12-07-2024-10h-44m_Exposure_3.0s_mod_split0_split500.csv,,2024_10_30,9f97c9a5-76ce-4db3-a03a-ae4211055032,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.67, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.6, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.14}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.75, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.155}, 'CT': {}, 'D': {}}",5,0.5,15000,32,1.77,0.01,"{'300': 3.2e-10, '260': 4.1e-10, '220': 5.1e-10, '180': 7.2e-10, '140': 8.9e-10, '100': 1.1e-09, '60': 1.1e-09}",0.05,"['1.709', '0.089', '0.095', '0.086', '0.153']",15000,-188.83604727231116
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//PYIT-300K_G0_650.0nm_1500.0nm_07-07-2024-16h-25m_Exposure_5.0s_mod_split0_split500/new_pl_sampling_alllifetimes_abs/bee052ef-3b00-48ae-a2d2-54730541eac5,PYIT-300K_G0_650.0nm_1500.0nm_07-07-2024-16h-25m_Exposure_5.0s_mod_split0_split500.csv,,2024_10_30,bee052ef-3b00-48ae-a2d2-54730541eac5,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.48, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.4, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.14}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.55, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.155}, 'CT': {}, 'D': {}}",5,0.5,15000,32,1.52,0.01,"{'300': 3.6e-10, '260': 4.8e-10, '220': 6.3e-10, '180': 8.8e-10, '140': 1.11e-09, '100': 1.27e-09, '60': 1.31e-09}",0.05,"['1.501', '0.098', '0.090', '0.077', '0.153']",13446,-189.7252246305715
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//IT4FDIO-300K-9_G0_650.0nm_1450.0nm_12-07-2024-12h-45m_Exposure_2.0s_mod_split0_split500/new_pl_sampling_alllifetimes_abs/d0abcab7-f28e-4f43-aae4-6de279345666,IT4FDIO-300K-9_G0_650.0nm_1450.0nm_12-07-2024-12h-45m_Exposure_2.0s_mod_split0_split500.csv,,2024_10_30,d0abcab7-f28e-4f43-aae4-6de279345666,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.6, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.5, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.14}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.7, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.155}, 'CT': {}, 'D': {}}",5,0.5,15000,32,1.66,0.01,"{'300': 4.1e-10, '260': 5.9e-10, '220': 7.3e-10, '180': 7.7e-10, '140': 8.7e-10, '100': 9.4e-10, '60': 1.2e-09}",0.05,"['1.609', '0.051', '0.111', '0.095', '0.150']",15000,-143.11393499939436
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//L8BO-fresh-300K_G0_750.0nm_1350.0nm_15-06-2024-16h-39m_Exposure_2.0s_mod_split0_split500/new_pl_sampling_alllifetimes_abs/dd50ffff-7414-49ea-8df0-d4efbbc4be6f,L8BO-fresh-300K_G0_750.0nm_1350.0nm_15-06-2024-16h-39m_Exposure_2.0s_mod_split0_split500.csv,,2024_10_30,dd50ffff-7414-49ea-8df0-d4efbbc4be6f,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.47, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.5, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.14}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.7, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.16}, 'CT': {}, 'D': {}}",5,0.5,20000,32,1.55,0.01,"{'300': 9.4e-10, '260': 9.9e-10, '220': 1.08e-09, '180': 1.14e-09, '140': 1.2e-09, '100': 1.22e-09, '60': 1.24e-09}",0.05,"['1.429', '0.011', '0.065', '0.109', '0.165', '0.100']",20000,-42.20119106699363
5,0.005,0.05,0.001,0.01,fit_experimental_emcee_pl/fit_data//Y5DIO-300K-sync2_G0_750.0nm_1400.0nm_15-10-2024-15h-46m_Exposure_2.0s_mod_split0_split500/new_pl_sampling_alllifetimes_abs/f8d0aa00-e77b-4615-b9b6-2ee85c7396f9,Y5DIO-300K-sync2_G0_750.0nm_1400.0nm_15-10-2024-15h-46m_Exposure_2.0s_mod_split0_split500.csv,,2024_10_30,f8d0aa00-e77b-4615-b9b6-2ee85c7396f9,"{'EX': {'numbrstates': 20}, 'CT': {'off': 1}, 'D': {}}","{'EX': {'E': 1.46, 'sigma': 0.1, 'Li': 0.078, 'Lo': 0.11, 'hO': 0.15}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.4, 'sigma': 0.001, 'Li': 0.01, 'Lo': 0.01, 'hO': 0.14}, 'CT': {}, 'D': {}}","{'EX': {'E': 1.53, 'sigma': 0.2, 'Li': 0.2, 'Lo': 0.2, 'hO': 0.16}, 'CT': {}, 'D': {}}",5,0.5,15000,32,1.56,0.01,"{'300': 1.59e-09, '260': 1.69e-09, '220': 1.72e-09, '180': 1.7e-09, '140': 1.66e-09, '100': 1.65e-09, '60': 1.63e-09}",0.05,"['1.466', '0.079', '0.065', '0.087', '0.154']",15000,-47.90902990259469
